上肢开放性外伤累及肌腱,0.00,0.00,1
经急症剖宫产术的单胎分娩,0.00,0.00,1
特指头痛综合征,0.00,0.00,1
妊娠、分娩和产褥期耻骨联合的不全脱位,0.00,0.00,1
脂肪垫,0.01,0.00,1
陈旧性颈淋巴结核,0.01,0.00,1
隐匿性房室传导阻滞,0.01,0.00,1
手术后虹膜脱出,0.01,0.00,1
虚脱,0.01,0.00,1
双侧股疝不伴梗阻和坏疽,0.01,0.00,1
血液及造血器官疾病和某些涉及免疫机制的疾患家族史,0.10,0.00,1
子宫炎,1.00,0.00,1
钴血液水平异常,2.00,0.00,1
先天性母(足)外翻,14.80,0.00,1
指骨病变,57.50,0.00,1
悬雍垂肥大,153.47,0.00,1
淋巴、造血和有关组织的恶性肿瘤 NOS,161.22,0.00,1
肠蛔虫,178.66,0.00,1
直肠前突病,181.49,0.00,1
念珠菌性龟头炎,201.52,0.00,1
功能性消化疾患,204.24,0.00,1
胆囊囊肿,210.76,0.00,1
身体体表10～19％烧伤,221.50,0.00,1
性反转综合征,279.87,210.78,1
手术后肾出血,281.56,0.00,1
外耳道炎(弥漫性外耳道炎),295.27,0.00,1
化脓性颈部淋巴结炎,308.95,0.00,1
鼻前庭鼻中隔溃疡,315.12,0.00,1
三尖瓣赘生物,340.75,0.00,1
为胎儿缺氧给予的孕产妇医疗,348.68,0.00,1
血糖水平升高,349.56,0.00,1
副银屑病,351.20,0.00,1
先天性钙化性软骨发育异常,366.31,0.00,1
足滑膜囊肿,366.60,0.00,1
过敏性哮喘，过敏性鼻炎伴哮喘,368.49,16.05,1
乙醇意外中毒 NOS (T51.001),370.04,14.42,1
左上腔静脉永存,370.06,0.00,1
胆管十二指肠吻合口狭窄,373.16,57.69,1
绝经期和女性更年期状态,383.30,0.00,1
糖尿病性脑血管病变,398.22,59.36,1
颚口线虫病,403.65,93.52,1
意外刺伤，意图不确定的,413.95,197.90,1
泡性结膜炎,418.41,0.00,1
囊性肾盂输尿管炎,420.25,0.00,1
多聚甲醛意外中毒 (T60.352),425.17,0.00,1
眼眶骨膜炎,426.50,66.60,1
低置胎盘伴出血,429.22,0.00,1
终止妊娠影响到胎儿和新生儿,434.76,0.00,1
误服氢氧化物 (T54.351),438.28,80.04,1
急性心包积液,438.35,30.08,1
颈部多处损伤,444.50,143.80,1
肠神经官能症,453.81,99.60,1
多发性和未特指部位的急性上呼吸道感染,458.01,0.00,1
颌下蜂窝织炎,459.71,0.00,1
先天性输卵管闭锁,467.10,49.73,1
胸壁蜂窝组织炎,468.21,3.36,1
其他非感染性胃肠炎和结肠炎,482.30,142.57,1
胰腺性腹膜炎,486.91,156.25,1
操作后眼疾患 NOS,490.06,106.59,1
其他细菌性食物中毒,493.52,77.92,1
胎儿宫内生长迟缓,498.04,26.13,1
双侧股疝伴梗阻,500.78,186.98,1
慢性化脓性额窦炎,512.70,64.89,1
胃肠手术后呕吐,521.80,33.01,1
抗利尿激素分泌异常综合征,522.39,84.03,1
贝赫切特外阴溃疡(急性)(感染性),526.35,187.23,1
子宫韧带子宫内膜异位,526.64,75.30,1
胃肠痉挛,533.20,0.00,1
梭状芽胞杆菌性肌坏死,534.52,1.85,1
阿狄森氏病[青铜色],538.52,132.63,1
脂肪过多症,543.95,33.00,1
中耳异物,552.70,302.90,1
肢痛症红皮病[费埃病],553.42,200.72,1
急性水肿性喉炎,555.00,32.60,1
下颌炎性窦道,555.68,89.33,1
行走困难，NEC,556.62,152.60,1
外耳开放性伤口,559.04,127.13,1
手术后吸收不良综合征,562.56,127.01,1
先天性高主动脉弓,564.74,196.92,1
股外侧皮神经综合征,574.50,36.80,1
网膜炎,576.37,87.46,1
蘑菇类意外中毒 (T62.001),578.52,0.00,1
完全性瘫痪,579.49,0.00,1
脑死亡,581.84,194.15,1
小斑块状类牛皮癣,585.60,219.16,1
胸膜的其他疾病,589.28,269.40,1
腕掌(关节)脱位,592.22,223.32,1
皮肤异色病,593.01,287.80,1
创伤性硬脑膜下积液,593.94,29.15,1
急性变应性结膜炎,594.79,126.10,1
手术后口腔感染,602.30,86.62,1
新生儿鼻出血,612.25,184.89,1
流行性出血性结膜炎,612.28,155.28,1
1型糖尿病伴神经并发症,617.49,182.06,1
胎膜部份滞留不伴出血,617.55,0.00,1
上肢静脉炎,619.34,14.35,1
